Disciplina,Semestre,Turma,Docente,Situação,Modalidade,Status,Código e Horário,Local,Alunos
,Ensino,Pesquisa,Extensão,Monitoria,Ações Integradas,Bolsas,Estágio,"<span class=""ThemeOfficeMainFolderLeft""><img src=""/sigaa/img/icones/amb_virt.png""></span><span class=""ThemeOfficeMainFolderText"">Ambientes Virtuais</span><span class=""ThemeOfficeMainFolderRight"">&nbsp;</span>",RESUN
ARQUITETURA DE COMPUTADORES (GRADUAÇÃO),2024.1,Turma 01,BRUNO OTAVIO PIEDADE PRADO (60h),REGULAR,PRESENCIAL,ABERTA,35N12,3 - 19:00h-20:30h SALA DE AULA - DID 5 - 101 / 5 - 19:00h-20:30h SALA DE AULA - DID 3 - 106,56/55 alunos
BANCO DE DADOS I (GRADUAÇÃO),2024.1,Turma 01,ANDRE BRITTO DE CARVALHO (60h),REGULAR,PRESENCIAL,ABERTA,24T12,2 - 13:30h-15:00h SALA DE DESENHO              DID 4 - 016 / 4 - 13:30h-15:00h SALA DE DESENHO              DID 4 - 016,55/55 alunos
BANCO DE DADOS I (GRADUAÇÃO),2024.1,Turma 02,ANDRE BRITTO DE CARVALHO (60h),REGULAR,PRESENCIAL,ABERTA,3N34 5N12,3 - 20:45h-22:15h SALA DE AULA - DID 6 - 112 / 5 - 19:00h-20:30h SALA DE AULA - DID 5 - 018,38/55 alunos
COMPILADORES (GRADUAÇÃO),2024.1,Turma 01,BEATRIZ TRINCHAO ANDRADE DE CARVALHO (60h),REGULAR,PRESENCIAL,ABERTA,24T12,2 - 13:30h-15:00h SALA DE AULA - DID 5 - 104 / 4 - 13:30h-15:00h SALA DE AULA - DID 5 - 103,55/55 alunos
COMPUTAÇÃO EM NUVEM (GRADUAÇÃO),2024.1,Turma 01,TARCISIO DA ROCHA (60h),REGULAR,PRESENCIAL,ABERTA,5N1234,5 - 19:00h-22:15h SALA DE AULA - DID 4 - 111,50/50 alunos
ENGENHARIA DE SOFTWARE I (GRADUAÇÃO),2024.1,Turma 01,MICHEL DOS SANTOS SOARES (60h),REGULAR,PRESENCIAL,ABERTA,24T34,2 - 15:15h-16:00h SALA DE AULA - DID 6 - 106 / 2 - 16:00h-16:45h SALA DE AULA - DID 6 - 106 / 4 - 15:15h-16:00h SALA DE AULA - DID 5 - 102 / 4 - 16:00h-16:45h SALA DE AULA - DID 5 - 102,68/60 alunos
ENGENHARIA DE SOFTWARE I (GRADUAÇÃO),2024.1,Turma 02,MICHEL DOS SANTOS SOARES (60h),REGULAR,PRESENCIAL,ABERTA,24T56,2 - 17:00h-18:30h SALA DE AULA - DID 6 - 106 / 4 - 17:00h-18:30h SALA DE AULA - DID 5 - 102,57/58 alunos
ENGENHARIA DE SOFTWARE I (GRADUAÇÃO),2024.1,Turma 03,TAUANY LORENE SANTANA SANTOS (60h),REGULAR,PRESENCIAL,ABERTA,24N12,2 - 19:00h-20:30h SALA DE AULA - DID 3 - 115 / 4 - 19:00h-20:30h SALA DE AULA - DID 3 - 115,56/55 alunos
ENGENHARIA DE SOFTWARE II (GRADUAÇÃO),2024.1,Turma 01,TAUANY LORENE SANTANA SANTOS (60h),REGULAR,PRESENCIAL,ABERTA,35N12,3 - 19:00h-20:30h SALA DE AULA - DID 4 - 007 / 5 - 19:00h-20:30h SALA DE AULA - DID 4 - 102,46/55 alunos
ESTRUTURAS DE DADOS (GRADUAÇÃO),2024.1,Turma 01,CARLOS ALBERTO ESTOMBELO MONTESCO (60h),REGULAR,PRESENCIAL,ABERTA,24T56,2 - 17:00h-18:30h SALA DE AULA - DID 6 - 102 / 4 - 17:00h-18:30h SALA DE AULA - DID 6 - 102,55/55 alunos
ESTRUTURAS DE DADOS (GRADUAÇÃO),2024.1,Turma 02,MAI LY VANESSA ALMEIDA SAUCEDO FARO (60h),REGULAR,PRESENCIAL,ABERTA,24T56,2 - 17:00h-18:30h SALA DE AULA - DID 6 - 104 / 4 - 17:00h-18:30h SALA DE AULA - DID 4 - 009,55/55 alunos
ESTRUTURAS DE DADOS (GRADUAÇÃO),2024.1,Turma 03,BRUNO OTAVIO PIEDADE PRADO (60h),REGULAR,PRESENCIAL,ABERTA,35T56,3 - 17:00h-18:30h SALA DE AULA - DID 6 - 007 / 5 - 17:00h-18:30h SALA DE AULA - DID 6 - 007,44/55 alunos
